Song Name,Paper [],Paper [],Paper [] ,Paper[],,,,,,,,,,
,,+ CT,+ CT + PP,+ CT + PP + W (Proposed),,,,,,,,,,
M_16_1 73,62.84%,71.06%,68.84%,78.08%,79.79%,72.60%,,,73.00 ,73.00 ,73.00 ,73.00 ,73.00 ,73.00 
M_7_1 155,52.24%,59.55%,60.32%,68.87%,68.06%,65.16%,,,155.00 ,155.00 ,155.00 ,155.00 ,155.00 ,155.00 
B_4_1 361,57.81%,60.50%,57.89%,58.80%,57.91%,58.24%,,,361.00 ,361.00 ,361.00 ,361.00 ,361.00 ,361.00 
B_20_1 122,63.44%,67.19%,64.75%,71.52%,69.88%,63.73%,,,122.00 ,122.00 ,122.00 ,122.00 ,122.00 ,122.00 
C_40_1 209,61.46%,62.85%,64.85%,66.58%,67.95%,62.87%,,,209.00 ,209.00 ,209.00 ,209.00 ,209.00 ,209.00 
C_47_1 132,53.75%,55.11%,51.52%,58.33%,59.28%,57.01%,,,132.00 ,132.00 ,132.00 ,132.00 ,132.00 ,132.00 
H_37_1 103,64.13%,63.76%,71.36%,71.12%,70.15%,68.45%,,,103.00 ,103.00 ,103.00 ,103.00 ,103.00 ,103.00 
H_23_1 128,56.02%,57.11%,59.88%,63.20%,66.33%,63.20%,,,128.00 ,128.00 ,128.00 ,128.00 ,128.00 ,128.00 
Average,58.96%,62.14%,62.43%,67.06%,67.42%,63.91%,,,,,,,,
改成WCSR,,,,,,,,,,,,,,
如果效果不好就不要改,,,,,,,,,,,,,,
,58.46%,61.37%,61.22%,64.97%,65.12%,62.36%,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,100.00%,100.00%,100.00%,100.00%,,,,100.00%,100.00%,100.00%,100.00%,,,
,81.29%,45.45%,55.56%,50.00%,,,,81.29%,45.45%,55.56%,50.00%,,,
,81.99%,36.59%,93.75%,52.63%,,,,81.99%,36.59%,93.75%,52.63%,,,
,89.34%,62.50%,83.33%,71.43%,,,,89.34%,62.50%,83.33%,71.43%,,,
,81.82%,58.33%,87.50%,70.00%,,,,81.82%,58.33%,87.50%,70.00%,,,
,85.61%,40.00%,80.00%,53.33%,,,,85.61%,40.00%,80.00%,53.33%,,,
,93.20%,100.00%,50.00%,66.67%,,,,93.20%,100.00%,50.00%,66.67%,,,
,87.50%,44.44%,66.67%,53.33%,,,,87.50%,44.44%,66.67%,53.33%,,,
,87.59%,60.91%,77.10%,64.67%,,,,85.24%,54.14%,72.25%,57.66%,,,
,,,,68.06%,,,,,,,61.89%,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,Song Name,Proposed system,,
,100.00%,100.00%,100.00%,100.00%,,100.00%,100.00%,100.00%,100.00%,,M_16_1,78.08%,,
,81.29%,45.45%,55.56%,50.00%,,83.87%,40.00%,44.44%,42.10%,,M_7_1,68.87%,,
,81.99%,36.59%,93.75%,52.64%,,87.26%,48.28%,87.50%,62.23%,,B_4_1,58.80%,,
,89.34%,62.50%,83.33%,71.43%,,97.54%,100.00%,100.00%,100.00%,,B_20_1,71.52%,,
,81.82%,58.33%,87.50%,70.00%,,82.30%,63.64%,87.50%,73.69%,,C_40_1,66.58%,,
,85.61%,40.00%,80.00%,53.33%,,80.30%,40.00%,80.00%,53.33%,,C_47_1,58.33%,,
,93.20%,100.00%,50.00%,66.67%,,93.20%,100.00%,50.00%,66.67%,,H_37_1,71.12%,,
,87.50%,44.44%,66.67%,53.33%,,94.53%,83.33%,83.33%,83.33%,,H_23_1,63.20%,,
,87.59%,60.91%,77.10%,68.06%,,89.88%,71.91%,79.10%,75.33%,,Average,67.06%,,
,85.24%,56.88%,73.99%,64.32%,,86.91%,60.64%,71.42%,65.59%,,WCSR,64.97%,,